,accuracy,f1_score,precision,recall,fold
0,0.6,0.5369293099322557,0.5456745147082812,0.6,1.0
1,0.5875,0.5714530892448512,0.56125,0.5875,2.0
2,0.225,0.0826530612244898,0.050625,0.225,3.0
3,0.47625,0.4564319257828291,0.5002148917376168,0.47625,4.0
4,0.53,0.5155047747538841,0.5075654616290659,0.53,5.0
5,0.53375,0.5338308663715583,0.5361996042852403,0.53375,6.0
6,0.6275,0.5393817204301076,0.5915540540540541,0.6275,7.0
7,0.635,0.6304560978296794,0.6261075949367089,0.635,8.0
8,0.59,0.59893836538174,0.609914981617647,0.59,9.0
9,0.57,0.4771961467513835,0.5335420743639921,0.57,10.0
10,0.56375,0.47141467810153637,0.569187001294461,0.56375,11.0
11,0.37875,0.4496139699602583,0.7970412649248138,0.37875,12.0
12,0.875,0.8166666666666668,0.765625,0.875,13.0
13,0.6625,0.5485389610389609,0.5355769230769232,0.6625,14.0
14,0.54625,0.40548384796405906,0.49158636026686436,0.54625,15.0
15,0.56625,0.5118786167315208,0.6194891276166428,0.56625,16.0
16,0.37125,0.2369555233197978,0.6399011583702312,0.37125,17.0
17,0.51375,0.5285892635229281,0.5614335163073209,0.51375,18.0
18,0.61875,0.6057358735511399,0.5965164616605919,0.61875,19.0
19,0.60375,0.6562449878661869,0.7416415293606036,0.60375,20.0
20,0.73625,0.7163007381877393,0.7015467544709835,0.73625,21.0
21,0.69875,0.6223510567284569,0.6047032528057827,0.69875,22.0
mean,0.5686363636363637,0.5232977064246377,0.5766771148858102,0.5686363636363637,11.5
std,0.12950896615311847,0.14821519648997739,0.14127923339117401,0.12950896615311847,6.34428877022476
