,accuracy,f1_score,precision,recall,fold
0,0.62,0.4849712428107027,0.5025316455696203,0.62,1.0
1,0.6525,0.5614159060753487,0.5566489361702128,0.6525,2.0
2,0.2325,0.11459394246840837,0.5429247487730778,0.2325,3.0
3,0.4575,0.30780519887732394,0.5703751065643649,0.4575,4.0
4,0.5775,0.4947536515960419,0.483618112643522,0.5775,5.0
5,0.475,0.3873100156931874,0.48654390934844194,0.475,6.0
6,0.50125,0.5070377306112462,0.5492784261653505,0.50125,7.0
7,0.71125,0.6557353716394307,0.6168158032443748,0.71125,8.0
8,0.66125,0.6595277957535062,0.6578994409386474,0.66125,9.0
9,0.47375,0.4109776483230776,0.5627116214856501,0.47375,10.0
10,0.5275,0.40332643958836867,0.4260648322653599,0.5275,11.0
11,0.50625,0.5839510977673993,0.8166919558428992,0.50625,12.0
12,0.87375,0.816044029352902,0.765488110137672,0.87375,13.0
13,0.67375,0.543427931292009,0.4553504380475594,0.67375,14.0
14,0.5475,0.4268333333333333,0.5169736842105263,0.5475,15.0
15,0.5625,0.5184336711177154,0.5985843290350565,0.5625,16.0
16,0.535,0.54567532368038,0.5816131613161316,0.535,17.0
17,0.46375,0.46490214461502405,0.5900361488273673,0.46375,18.0
18,0.7,0.5764705882352941,0.49,0.7,19.0
19,0.85,0.7810810810810811,0.7225,0.85,20.0
20,0.2025,0.0867817279867714,0.48903061224489797,0.2025,21.0
21,0.52,0.5428571428571428,0.5828368794326241,0.52,22.0
mean,0.5602272727272726,0.49426877339798614,0.5711144501028799,0.5602272727272726,11.5
std,0.1566624721025723,0.17106226107897976,0.0962336223041779,0.1566624721025723,6.34428877022476
