,accuracy,f1_score,precision,recall,fold
0,0.4725,0.47778822055137854,0.521962915601023,0.4725,1.0
1,0.49875,0.513393616598434,0.5758549834671706,0.49875,2.0
2,0.2325,0.09801844769108646,0.8260075566750629,0.2325,3.0
3,0.5125,0.5125,0.5228535353535354,0.5125,4.0
4,0.5775,0.5180478306981111,0.513848849346389,0.5775,5.0
5,0.49875,0.481382216624109,0.4894044771697581,0.49875,6.0
6,0.6275,0.5770826125089517,0.596178490255815,0.6275,7.0
7,0.71125,0.6684759022953038,0.6411071062492648,0.71125,8.0
8,0.66125,0.634984092702765,0.6202394020598585,0.66125,9.0
9,0.53625,0.5159802706604915,0.5160453582544987,0.53625,10.0
10,0.53,0.5266996160086194,0.5471270043400296,0.53,11.0
11,0.31125,0.3588973173718937,0.8065315315315316,0.31125,12.0
12,0.87375,0.816044029352902,0.765488110137672,0.87375,13.0
13,0.6725,0.5428251121076233,0.45507518796992485,0.6725,14.0
14,0.5875,0.5447738779713379,0.5902412804586717,0.5875,15.0
15,0.50375,0.44154412346516947,0.5067635355254703,0.50375,16.0
16,0.5325,0.5406316941187326,0.5540369886523733,0.5325,17.0
17,0.41375,0.3858510592929202,0.580866909704274,0.41375,18.0
18,0.62125,0.5911793987844927,0.5747492242188064,0.62125,19.0
19,0.84375,0.7779661016949153,0.7216981132075472,0.84375,20.0
20,0.75875,0.7213867025000706,0.7007367488835711,0.75875,21.0
21,0.7175,0.6123386771526517,0.5940989847715736,0.7175,22.0
mean,0.5770454545454546,0.5389904963705436,0.6009507406288099,0.5770454545454546,11.5
std,0.15155938748188547,0.1464893733284396,0.10073315633656639,0.15155938748188547,6.34428877022476
