,accuracy,f1_score,precision,recall,fold
0,0.59375,0.5254189804235818,0.5306650672199887,0.59375,1.0
1,0.675,0.5440298507462686,0.455625,0.675,2.0
2,0.2625,0.17305838965845133,0.6808510638297872,0.2625,3.0
3,0.45,0.2793103448275862,0.2025,0.45,4.0
4,0.5875,0.5008876307456098,0.49716141761596305,0.5875,5.0
5,0.48875,0.376846329183398,0.5413880427852944,0.48875,6.0
6,0.56625,0.5340801536764171,0.526957450281579,0.56625,7.0
7,0.71125,0.6644603376493187,0.6339759479800974,0.71125,8.0
8,0.58375,0.595796749057425,0.6119240856869816,0.58375,9.0
9,0.52375,0.5186305833614242,0.5161955353507033,0.52375,10.0
10,0.485,0.48443344334433447,0.4957589285714286,0.485,11.0
11,0.1275,0.03282539863831623,0.8906641604010025,0.1275,12.0
12,0.72125,0.7480689984671431,0.7804473134227734,0.72125,13.0
13,0.6725,0.5473160036523091,0.5640008396305626,0.6725,14.0
14,0.52,0.4712151813815399,0.4898103237509365,0.52,15.0
15,0.49,0.4595131644311972,0.48708635996771593,0.49,16.0
16,0.6475,0.5197315082916557,0.5629113924050633,0.6475,17.0
17,0.44875,0.4550278569182316,0.5580554784363383,0.44875,18.0
18,0.5775,0.5794433305814365,0.5814866760168304,0.5775,19.0
19,0.6275,0.6738744318727047,0.7447852672262121,0.6275,20.0
20,0.8,0.7111111111111111,0.64,0.8,21.0
21,0.65375,0.6191829782319995,0.6000222222222223,0.65375,22.0
mean,0.5551704545454546,0.5006483071023391,0.5723760260364309,0.5551704545454546,11.5
std,0.14681577406201882,0.1642528142968175,0.13163544107130606,0.14681577406201882,6.34428877022476
