,accuracy,f1_score,precision,recall,fold
0,0.5125,0.45591138331043046,0.5214050259000813,0.5125,1.0
1,0.625,0.6160073785611806,0.6084987057808455,0.625,2.0
2,0.7275,0.6669266049746416,0.6542661957430989,0.7275,3.0
3,0.5625,0.465069600877953,0.5108888613657006,0.5625,4.0
4,0.54,0.557560703058209,0.5925262916656057,0.54,5.0
5,0.6825,0.6948379519031692,0.7086857502592209,0.6825,6.0
6,0.62,0.6320227557103,0.6475154823750404,0.62,7.0
7,0.64875,0.562030558669105,0.6010799267846249,0.64875,8.0
8,0.575,0.45596926713947994,0.5451570680628273,0.575,9.0
9,0.56,0.48047464940668827,0.48467207074428886,0.56,10.0
10,0.33875,0.19008749704226838,0.7300337210438863,0.33875,11.0
11,0.54875,0.5290266245510442,0.5303598605067338,0.54875,12.0
12,0.52375,0.4874132024734667,0.5331498460276889,0.52375,13.0
13,0.5,0.43244700473906755,0.5,0.5,14.0
14,0.5225,0.4542857142857143,0.6378260869565218,0.5225,15.0
15,0.4225,0.29376520681265206,0.4526394901394902,0.4225,16.0
16,0.64625,0.5169536976185009,0.5390434049726085,0.64625,17.0
17,0.75,0.6428571428571428,0.5625,0.75,18.0
18,0.63,0.5441348469212246,0.5534836961272839,0.63,19.0
19,0.67125,0.5898597992954712,0.5740622868833826,0.67125,20.0
20,0.53375,0.5383339772525353,0.5451024155456288,0.53375,21.0
21,0.54625,0.4362822832501412,0.5156108711575862,0.54625,22.0
mean,0.5767045454545455,0.5110117204868357,0.570386684456461,0.5767045454545455,11.5
std,0.09330085246260045,0.11464801806812717,0.06932955310944516,0.09330085246260045,6.34428877022476
