,accuracy,f1_score,precision,recall,fold
0,0.50875,0.41861217696824005,0.52303578774167,0.50875,1.0
1,0.725,0.6094202898550725,0.525625,0.725,2.0
2,0.75,0.6428571428571428,0.5625,0.75,3.0
3,0.4225,0.2589177312675546,0.3953914141414141,0.4225,4.0
4,0.7,0.5764705882352941,0.49,0.7,5.0
5,0.685,0.6972408026755853,0.711016886387202,0.685,6.0
6,0.29375,0.20358253564360432,0.6773947528981087,0.29375,7.0
7,0.65125,0.5150005800792685,0.7730287859824782,0.65125,8.0
8,0.56875,0.4296919894265027,0.4797254150702427,0.56875,9.0
9,0.59,0.4452830188679245,0.3575757575757576,0.59,10.0
10,0.435,0.43081732693077235,0.5656062035617407,0.435,11.0
11,0.5425,0.5060042735042735,0.5128942652329749,0.5425,12.0
12,0.5,0.33333333333333326,0.25,0.5,13.0
13,0.5,0.33333333333333326,0.25,0.5,14.0
14,0.5175,0.4387627489072365,0.4650862068965517,0.5175,15.0
15,0.425,0.2535087719298246,0.180625,0.425,16.0
16,0.65,0.5121212121212121,0.4225,0.65,17.0
17,0.72375,0.6752580695334693,0.6624858543945681,0.72375,18.0
18,0.6275,0.5735808893093661,0.5767441860465116,0.6275,19.0
19,0.7,0.5764705882352941,0.49,0.7,20.0
20,0.39125,0.27012271025068096,0.5398724251928456,0.39125,21.0
21,0.54875,0.3919700421574458,0.4522584692597239,0.54875,22.0
mean,0.5661931818181819,0.45874364342829227,0.4937893822900813,0.5661931818181819,11.5
std,0.12252404522402063,0.14012671159612392,0.14483247662783635,0.12252404522402063,6.34428877022476
