,accuracy,f1_score,precision,recall,fold
0,0.4975,0.3818760523098923,0.4900704994538775,0.4975,1.0
1,0.7075,0.605062377373857,0.5534455811310032,0.7075,2.0
2,0.3775,0.3790407260181505,0.625,0.3775,3.0
3,0.49,0.4825273256271133,0.47902560763888885,0.49,4.0
4,0.63625,0.594831537243531,0.5768743019778795,0.63625,5.0
5,0.50875,0.5675076802114704,0.7047543206860479,0.50875,6.0
6,0.63125,0.6386644465341376,0.6472945545125355,0.63125,7.0
7,0.66,0.5738208353920413,0.634677087618264,0.66,8.0
8,0.59125,0.5226335745687404,0.5820546325018767,0.59125,9.0
9,0.50625,0.5068712204229068,0.5075303643724696,0.50625,10.0
10,0.38375,0.35081571078280066,0.5338569847804275,0.38375,11.0
11,0.50125,0.4948546097031421,0.4918006273939589,0.50125,12.0
12,0.48375,0.4836846538390015,0.4837417692706933,0.48375,13.0
13,0.505,0.37754933628840215,0.5276281254316895,0.505,14.0
14,0.535,0.5083154199885717,0.5190668720318315,0.535,15.0
15,0.425,0.2621258796170457,0.46780303030303033,0.425,16.0
16,0.64875,0.5224934959925864,0.582538310865307,0.64875,17.0
17,0.7425,0.6668105767666529,0.6708262939640608,0.7425,18.0
18,0.64625,0.5458996816260807,0.5877539674517336,0.64625,19.0
19,0.59125,0.5793799626823942,0.5701126263597522,0.59125,20.0
20,0.485,0.47985657430352185,0.5613302139037433,0.485,21.0
21,0.5625,0.4677601990367134,0.5668997107039537,0.5625,22.0
mean,0.5507386363636363,0.4996537216513069,0.5620038855615009,0.5507386363636363,11.5
std,0.09695334741726674,0.09795481107234325,0.06374226268042331,0.09695334741726674,6.34428877022476
