,accuracy,f1_score,precision,recall,fold
0,0.4975,0.4948447778636458,0.49744630863913786,0.4975,1.0
1,0.4125,0.4258031240789862,0.585533355861564,0.4125,2.0
2,0.46,0.48870105226841465,0.6379472324434354,0.46,3.0
3,0.49,0.46209464282269425,0.5482462162073812,0.49,4.0
4,0.3725,0.33172418606717047,0.5832313027098762,0.3725,5.0
5,0.365,0.40597605519480523,0.7085857675201346,0.365,6.0
6,0.4925,0.5259519462305839,0.625,0.4925,7.0
7,0.58875,0.549896494713589,0.5388590699905101,0.58875,8.0
8,0.57375,0.575610564502222,0.5791766409690938,0.57375,9.0
9,0.56125,0.5318561886432371,0.5310860650452635,0.56125,10.0
10,0.605,0.5693413607053559,0.5544644337589123,0.605,11.0
11,0.4725,0.43790283400809715,0.5289344262295081,0.4725,12.0
12,0.505,0.370304114490161,0.5346320346320347,0.505,13.0
13,0.4875,0.48354589828373484,0.48710509348807224,0.4875,14.0
14,0.5225,0.5021141215106733,0.5600352112676056,0.5225,15.0
15,0.43875,0.38647228756551527,0.4844923730932733,0.43875,16.0
16,0.59125,0.5212897959183674,0.5023926838372528,0.59125,17.0
17,0.45875,0.48360473869804665,0.6546148682664876,0.45875,18.0
18,0.65375,0.5353879030778494,0.6317444219066937,0.65375,19.0
19,0.68875,0.6020181362457809,0.61048555544844,0.68875,20.0
20,0.5725,0.5689654588668666,0.5662607844758676,0.5725,21.0
21,0.52125,0.518840697383776,0.517787733752472,0.52125,22.0
mean,0.5150568181818183,0.4896475626881624,0.5667300717974098,0.5150568181818183,11.5
std,0.08179839170381396,0.07004315012133279,0.05749210009908495,0.08179839170381396,6.34428877022476
