,accuracy,f1_score,precision,recall,fold
0,0.51125,0.47086993516126796,0.5161930208080318,0.51125,1.0
1,0.5375,0.5580532487936258,0.5920140705094675,0.5375,2.0
2,0.60125,0.6180640735119851,0.6419900780684558,0.60125,3.0
3,0.4225,0.25463513841670715,0.32368090452261306,0.4225,4.0
4,0.53875,0.5562864721485411,0.5908361204013378,0.53875,5.0
5,0.61875,0.6557143339004239,0.7106450202686591,0.61875,6.0
6,0.6225,0.6401785514510102,0.6682171504175969,0.6225,7.0
7,0.6,0.5769381776448914,0.5689751077736059,0.6,8.0
8,0.575,0.4198412698412698,0.330625,0.575,9.0
9,0.55875,0.513547351103324,0.5157499166590902,0.55875,10.0
10,0.59875,0.5814784778540236,0.57133608815427,0.59875,11.0
11,0.51125,0.5072478352749229,0.5049370337823998,0.51125,12.0
12,0.52625,0.5092254924336233,0.5304791761914092,0.52625,13.0
13,0.47875,0.3646670310562791,0.42457685396747935,0.47875,14.0
14,0.51,0.508056148916692,0.5070197044334975,0.51,15.0
15,0.47875,0.4684736377497793,0.5142354956871087,0.47875,16.0
16,0.60625,0.5663329161451816,0.5594761779415636,0.60625,17.0
17,0.75,0.6428571428571428,0.5625,0.75,18.0
18,0.57875,0.5628733616612704,0.5544892866569091,0.57875,19.0
19,0.7,0.5764705882352941,0.49,0.7,20.0
20,0.52375,0.5312898237374533,0.5527247407018399,0.52375,21.0
21,0.51875,0.5107413576260239,0.5103852307941588,0.51875,22.0
mean,0.5621590909090908,0.526992834796397,0.5336857353517951,0.5621590909090908,11.5
std,0.07228434011904847,0.09139811596603536,0.0891909837637683,0.07228434011904847,6.34428877022476
