,accuracy,f1_score,precision,recall,fold
0,0.4825,0.48193069306930697,0.4931919642857143,0.4825,1.0
1,0.53375,0.5349179642153845,0.5386168038550241,0.53375,2.0
2,0.5675,0.5165255190531135,0.5614688128772636,0.5675,3.0
3,0.505,0.5038115246098439,0.5174112607099143,0.505,4.0
4,0.5725,0.5704425657609942,0.569784265266193,0.5725,5.0
5,0.58875,0.5897640014089468,0.5945007032348805,0.5887499999999999,6.0
6,0.56875,0.5174627996055206,0.5635795693022956,0.56875,7.0
7,0.595,0.5597993127727301,0.5975101905916052,0.595,8.0
8,0.54,0.5280752798091792,0.5305016272023342,0.54,9.0
9,0.5825,0.5799669402858915,0.6017589500660091,0.5825,10.0
10,0.52375,0.500959063536752,0.5645689393880517,0.52375,11.0
11,0.5475,0.49512513034410843,0.5295731707317073,0.5475,12.0
12,0.54375,0.4247208177598669,0.5010829160394458,0.54375,13.0
13,0.53375,0.4665762190409323,0.5024759683609127,0.53375,14.0
14,0.575,0.48573059360730597,0.6002747252747253,0.575,15.0
15,0.5375,0.5004603826756604,0.5187862299512785,0.5375,16.0
16,0.53625,0.5236235531430039,0.567539350425898,0.53625,17.0
17,0.5625,0.5379879237388865,0.5527495135721349,0.5625,18.0
18,0.52875,0.45247406565297715,0.4884994861253854,0.52875,19.0
19,0.45625,0.3311404928112431,0.5082045621780721,0.45625,20.0
20,0.5525,0.4278497529274104,0.5426739364152973,0.5525,21.0
21,0.505,0.4306225689682308,0.4465858523860672,0.505,22.0
mean,0.5426704545454547,0.4981803256726041,0.5405153999200096,0.5426704545454547,11.5
std,0.03364735116918536,0.05863950487925909,0.0403501936510432,0.03364735116918535,6.34428877022476
