,accuracy,f1_score,precision,recall,fold
0,0.5475,0.413975979718483,0.5104054859868813,0.5475,1.0
1,0.5475,0.4581347962382445,0.5241666666666667,0.5475,2.0
2,0.5475,0.4538996608990523,0.5234643734643736,0.5475,3.0
3,0.50125,0.44711498547114986,0.45926029857447526,0.50125,4.0
4,0.5725,0.44993006993006995,0.67,0.5725,5.0
5,0.5625,0.4352437821101698,0.6124167283493709,0.5625,6.0
6,0.5075,0.5066390514554989,0.5060039670430271,0.5075,7.0
7,0.56625,0.4758374545576883,0.5752473102070811,0.56625,8.0
8,0.58625,0.5421698219790507,0.5889762705700519,0.58625,9.0
9,0.4975,0.40862602094129186,0.6142774645016645,0.4975,10.0
10,0.5125,0.43836452542219184,0.6251334344626103,0.5125,11.0
11,0.555,0.4495322245322245,0.5471198156682027,0.555,12.0
12,0.53625,0.39441971927422115,0.40650100861910876,0.53625,13.0
13,0.50375,0.48928513271454155,0.49004222378606616,0.50375,14.0
14,0.54875,0.4005752710221752,0.5070803087913354,0.54875,15.0
15,0.54375,0.5448345093178976,0.549998749366867,0.54375,16.0
16,0.53625,0.5199589408121368,0.5244976275337284,0.53625,17.0
17,0.505,0.5057923169267707,0.5130770774789241,0.505,18.0
18,0.535,0.4821498507850944,0.5101001214863223,0.535,19.0
19,0.45625,0.2991466598739095,0.6036121673003803,0.45625,20.0
20,0.55,0.3903225806451613,0.30250000000000005,0.55,21.0
21,0.55875,0.5576125781798343,0.573198576085639,0.55875,22.0
mean,0.5353409090909093,0.4574348151275844,0.5335036216337626,0.5353409090909093,11.5
std,0.029829491341942273,0.0593967642549003,0.07736054959849366,0.029829491341942273,6.34428877022476
