,accuracy,f1_score,precision,recall,fold
0,0.545,0.4028368794326241,0.4767263427109974,0.545,1.0
1,0.54875,0.5498750295776391,0.553341437955885,0.54875,2.0
2,0.51125,0.5103140725206738,0.509645272312028,0.51125,3.0
3,0.54125,0.5241604717803895,0.5297425997425997,0.54125,4.0
4,0.5875,0.5584312940478081,0.5847113061821646,0.5875,5.0
5,0.55125,0.5444169796841553,0.5448716227554958,0.55125,6.0
6,0.5175,0.5183464433252221,0.5197133829835252,0.5175,7.0
7,0.5575,0.5182605389879192,0.5455080728780922,0.5575,8.0
8,0.56,0.5353478547316801,0.5497081432809161,0.56,9.0
9,0.53375,0.5148379166743107,0.5206046435310526,0.53375,10.0
10,0.535,0.4877397069633669,0.5120391182617611,0.535,11.0
11,0.535,0.4685714285714285,0.505,0.535,12.0
12,0.46875,0.4495280804179504,0.44824878652327016,0.46875,13.0
13,0.48125,0.47568553028952915,0.47395349297055744,0.48125,14.0
14,0.56625,0.4838630283574104,0.5701809954751131,0.56625,15.0
15,0.5025,0.4935649400180293,0.5237503741394792,0.5025,16.0
16,0.54875,0.5033216942137713,0.5324772613546052,0.54875,17.0
17,0.51375,0.5141415000842957,0.5146110086778134,0.51375,18.0
18,0.5,0.4997374934373359,0.5106286061342241,0.5,19.0
19,0.51125,0.5119995281349534,0.5131058823529412,0.51125,20.0
20,0.5325,0.4387310494423879,0.48475388877050923,0.5325,21.0
21,0.55125,0.40801632653061226,0.543375796178344,0.55125,22.0
mean,0.5318181818181819,0.49598762669197693,0.5212135470532443,0.5318181818181819,11.5
std,0.027912014948985632,0.04097633444711337,0.0314004316280403,0.027912014948985632,6.34428877022476
