,accuracy,f1_score,precision,recall,fold
0,0.52125,0.4808847101856767,0.49592322550806656,0.52125,1.0
1,0.49125,0.47739834536173203,0.5148129659918856,0.49125,2.0
2,0.57,0.5193201692319973,0.5654736932231689,0.57,3.0
3,0.50875,0.5022591387818824,0.5012340295208356,0.50875,4.0
4,0.57125,0.4492049187783863,0.6580750031461051,0.57125,5.0
5,0.57625,0.5749852030866441,0.5743682875561433,0.57625,6.0
6,0.54125,0.5139731589614738,0.5264319659323666,0.54125,7.0
7,0.5625,0.5109362186953461,0.5534590521854531,0.5625,8.0
8,0.5625,0.5237039227281687,0.5524922233743149,0.5625,9.0
9,0.5,0.43513052064262653,0.5768895981430436,0.5,10.0
10,0.51375,0.47814153846153845,0.5652010547132498,0.51375,11.0
11,0.5375,0.4849339913722713,0.5140232918604164,0.5375,12.0
12,0.5325,0.4131899233441427,0.45559335716757005,0.5325,13.0
13,0.50625,0.507144655031979,0.51394625185668,0.50625,14.0
14,0.525,0.4090255303847537,0.4355203619909503,0.525,15.0
15,0.55125,0.5016322149971457,0.5357266569758451,0.55125,16.0
16,0.51375,0.48302596245759916,0.5596204817766035,0.51375,17.0
17,0.51875,0.5051752095959887,0.5067779028683504,0.51875,18.0
18,0.50375,0.48338338338338344,0.5355846356618339,0.50375,19.0
19,0.45375,0.30001151686741206,0.5329299363057325,0.45375,20.0
20,0.56625,0.5016187134502924,0.5627705490320534,0.56625,21.0
21,0.55125,0.4289417095380776,0.5352750522475292,0.55125,22.0
mean,0.5308522727272728,0.47654639342447813,0.5350967989562818,0.5308522727272728,11.5
std,0.03061487857707844,0.05420913172446759,0.04439049978880923,0.03061487857707844,6.34428877022476
