,accuracy,f1_score,precision,recall,fold
0,0.5025,0.501952695269527,0.5137276785714286,0.5025,1.0
1,0.55125,0.41595521238503275,0.5384505623636058,0.55125,2.0
2,0.55,0.3903225806451613,0.30250000000000005,0.55,3.0
3,0.535,0.5007792207792208,0.5164452113891286,0.535,4.0
4,0.52125,0.5086242420964118,0.5100269831566077,0.52125,5.0
5,0.55625,0.4370512041970038,0.5595623167896493,0.55625,6.0
6,0.50375,0.5035548268786989,0.5033736745262439,0.50375,7.0
7,0.55,0.3903225806451613,0.30250000000000005,0.55,8.0
8,0.61875,0.6037126977226811,0.6177617856427081,0.61875,9.0
9,0.50625,0.5041893556977622,0.5031054405392392,0.50625,10.0
10,0.5625,0.5550607287449393,0.556288032454361,0.5625,11.0
11,0.49625,0.4908464306185066,0.4894123346449686,0.49625,12.0
12,0.46625,0.45987616099071205,0.45779599271402543,0.46625,13.0
13,0.49,0.48958400515962597,0.4892224671277647,0.49,14.0
14,0.5375,0.5312379110251451,0.5309999999999999,0.5375,15.0
15,0.48375,0.4849093913755844,0.48716425474407343,0.48375,16.0
16,0.55,0.39475088018777343,0.5276381909547738,0.55,17.0
17,0.54,0.4796984739841882,0.5157060849598163,0.54,18.0
18,0.535,0.5304187192118227,0.5296658259773014,0.535,19.0
19,0.55,0.3903225806451613,0.30250000000000005,0.55,20.0
20,0.54625,0.45310936806274976,0.5202068965517241,0.54625,21.0
21,0.54125,0.5048913583215292,0.5239299093976671,0.54125,22.0
mean,0.5315340909090911,0.47823502839292725,0.4908174382956858,0.5315340909090911,11.5
std,0.03250640631392959,0.055690701189464745,0.08085150192850142,0.03250640631392959,6.34428877022476
