,accuracy,f1_score,precision,recall,fold
0,0.52,0.5198126427735013,0.5196316504008811,0.52,1.0
1,0.51875,0.5151000730720562,0.5129688766733237,0.51875,2.0
2,0.49125,0.4883655913978495,0.5190173457699231,0.49125,3.0
3,0.54375,0.5424823761752564,0.5414969515940287,0.54375,4.0
4,0.57625,0.42488466917622825,0.6144813885403597,0.57625,5.0
5,0.51625,0.5161563997639756,0.5160643784513594,0.51625,6.0
6,0.5775,0.5334871990101837,0.5570554058944152,0.5775,7.0
7,0.5775,0.5577048933431912,0.5627914186507936,0.5775,8.0
8,0.56875,0.5339749108350756,0.5473049865507966,0.56875,9.0
9,0.56875,0.44706122448979585,0.5128618113912231,0.56875,10.0
10,0.48375,0.4538061542278698,0.5413290392777348,0.48375,11.0
11,0.49625,0.4975114273222306,0.4991145750909955,0.49625,12.0
12,0.46375,0.371871678195347,0.5837269698998953,0.46375,13.0
13,0.59125,0.530346465761313,0.5798429070136464,0.59125,14.0
14,0.58625,0.5780368123478189,0.5775974025974027,0.58625,15.0
15,0.55125,0.5381734186211798,0.5374464831804282,0.55125,16.0
16,0.55625,0.5029289945787295,0.5227377855657984,0.55625,17.0
17,0.53125,0.5135509228481677,0.5124413591986814,0.53125,18.0
18,0.575,0.4198412698412698,0.330625,0.575,19.0
19,0.52125,0.5047816934023831,0.5025914690200405,0.52125,20.0
20,0.49375,0.4768514774235598,0.5402739913262554,0.49375,21.0
21,0.57625,0.4734896790797836,0.5505582672361196,0.57625,22.0
mean,0.5402272727272728,0.49728272607667123,0.530998157423823,0.5402272727272728,11.5
std,0.03737980047393344,0.04843625684715799,0.0524513555453395,0.03737980047393344,6.34428877022476
