,accuracy,f1_score,precision,recall,fold
0,0.575,0.4198412698412698,0.330625,0.575,1.0
1,0.49125,0.4934706737607166,0.4971426372369768,0.49125,2.0
2,0.5775,0.4481160425335182,0.5629080756013746,0.5775,3.0
3,0.5275,0.4847213809812235,0.4892367389993973,0.5275,4.0
4,0.4375,0.36754400178235064,0.48908917259055085,0.4375,5.0
5,0.58125,0.4501412988313781,0.596728100739654,0.58125,6.0
6,0.575,0.4198412698412698,0.330625,0.575,7.0
7,0.57875,0.43471709738226616,0.6155394016013485,0.57875,8.0
8,0.56625,0.4748258474066308,0.5243103578225395,0.56625,9.0
9,0.575,0.4198412698412698,0.330625,0.575,10.0
10,0.55,0.5443893645786391,0.5423623995052567,0.55,11.0
11,0.52375,0.5052178575603409,0.5035803149193216,0.52375,12.0
12,0.535,0.5126139098595026,0.5131409956669473,0.535,13.0
13,0.575,0.4198412698412698,0.330625,0.575,14.0
14,0.57625,0.4226674104803188,0.7560387984981227,0.57625,15.0
15,0.545,0.5087037037037038,0.5161827956989248,0.545,16.0
16,0.575,0.4198412698412698,0.330625,0.575,17.0
17,0.55,0.5117268955435647,0.5215012302155632,0.55,18.0
18,0.5375,0.46677947025993644,0.4806893687707641,0.5375,19.0
19,0.4225,0.34705403645833327,0.45714105666465016,0.4225,20.0
20,0.575,0.4198412698412698,0.330625,0.575,21.0
21,0.56875,0.47494195463531497,0.529830587442257,0.56875,22.0
mean,0.546306818181818,0.4530308438547889,0.48087145599880227,0.546306818181818,11.5
std,0.04331681201926564,0.0483297009618818,0.10932321907916635,0.04331681201926564,6.34428877022476
