,accuracy,f1_score,precision,recall,fold
0,0.56875,0.4575832230934898,0.521301319544517,0.56875,1.0
1,0.5075,0.49239328614328615,0.4890901981230449,0.5075,2.0
2,0.54125,0.45895369386377893,0.4761246977232285,0.54125,3.0
3,0.51375,0.516336945812808,0.5221412924424972,0.51375,4.0
4,0.5275,0.4988636363636364,0.49997203579418353,0.5275,5.0
5,0.5375,0.47823506431061424,0.4904395753946652,0.5375,6.0
6,0.555,0.5368984792604818,0.5382969405937604,0.555,7.0
7,0.56375,0.42307972263724475,0.42825670498084295,0.56375,8.0
8,0.56625,0.5587152258622703,0.5573027448076303,0.56625,9.0
9,0.49125,0.48241238307188483,0.4786920851075502,0.49125,10.0
10,0.57,0.4665223665223665,0.5296466973886329,0.57,11.0
11,0.5325,0.520924093725897,0.5187613071008593,0.5325,12.0
12,0.51125,0.5138921582993393,0.5200288116823394,0.51125,13.0
13,0.545,0.5132367435442539,0.5188322368421052,0.545,14.0
14,0.5775,0.5493364942206261,0.560239559399919,0.5775,15.0
15,0.54875,0.5210680876938972,0.5256931207762954,0.54875,16.0
16,0.525,0.5165569453587886,0.5138736263736263,0.525,17.0
17,0.5725,0.5036958599839901,0.5448738513403296,0.5725,18.0
18,0.5575,0.5434653465346535,0.5435090909090908,0.5575,19.0
19,0.475,0.4779436288236812,0.485177915030882,0.475,20.0
20,0.5775,0.42547950427207387,0.7564536340852129,0.5775,21.0
21,0.57875,0.458092931385209,0.565423136185848,0.57875,22.0
mean,0.5428977272727272,0.4960766282174669,0.5265513900739572,0.5428977272727272,11.5
std,0.028933177233665695,0.03677812808732795,0.059241239259802986,0.028933177233665695,6.34428877022476
