,accuracy,f1_score,precision,recall,fold
0,0.5575,0.49657297231665865,0.5210894254628746,0.5575,1.0
1,0.425,0.30705254726965875,0.46572580645161293,0.425,2.0
2,0.44625,0.3608685719212035,0.5204012691302725,0.44625,3.0
3,0.45625,0.40928802259348646,0.5124035692615885,0.45625,4.0
4,0.5175,0.4755916819852941,0.4770459931861947,0.5175,5.0
5,0.55375,0.5445090416854674,0.5429581013546858,0.55375,6.0
6,0.53625,0.5056959940858152,0.5089945787138757,0.53625,7.0
7,0.45,0.4370821665531421,0.48213478064224335,0.45,8.0
8,0.4475,0.4252380952380952,0.4844736842105263,0.4475,9.0
9,0.46625,0.46501511626600134,0.46395030298336976,0.46625,10.0
10,0.49125,0.4624159934066394,0.551213167644462,0.49125,11.0
11,0.51875,0.5138953733331815,0.5114423198556582,0.51875,12.0
12,0.465,0.4089314842309203,0.5363692795068282,0.465,13.0
13,0.55625,0.4469765005238737,0.4802701371523831,0.55625,14.0
14,0.5225,0.49698735576058184,0.5927364864864865,0.5225,15.0
15,0.53625,0.5091580423999681,0.5113255696491271,0.53625,16.0
16,0.52875,0.5299300449143448,0.5314757081816743,0.52875,17.0
17,0.52625,0.5268474453590464,0.5275239994656183,0.52625,18.0
18,0.4925,0.4930424211361889,0.5139778717119503,0.4925,19.0
19,0.45125,0.43348666745909115,0.48673745173745175,0.45125,20.0
20,0.49875,0.5013674336154784,0.5068328105139909,0.49875,21.0
21,0.58875,0.5791372390920961,0.5794160324922178,0.58875,22.0
mean,0.5014772727272726,0.4695041005066469,0.5140226520815951,0.5014772727272726,11.5
std,0.044238564848271364,0.061387381935866105,0.03292123665804181,0.044238564848271364,6.34428877022476
