,accuracy,f1_score,precision,recall,fold
0,0.575,0.4198412698412698,0.330625,0.575,1.0
1,0.575,0.4198412698412698,0.330625,0.575,2.0
2,0.5675,0.5514164976335362,0.5532142857142857,0.5675,3.0
3,0.55875,0.5510849415832317,0.5494416788376223,0.55875,4.0
4,0.57625,0.44357582180249916,0.5547756586588422,0.57625,5.0
5,0.575,0.4198412698412698,0.330625,0.575,6.0
6,0.5475,0.539456879526004,0.5374862637362638,0.5475,7.0
7,0.58875,0.5902049823102454,0.5926236044657098,0.58875,8.0
8,0.56375,0.44783527957932767,0.49767979478357033,0.56375,9.0
9,0.495,0.48475992890697783,0.48097332852266106,0.495,10.0
10,0.57875,0.5750399772718049,0.5735295578738202,0.57875,11.0
11,0.525,0.4618933285011023,0.4678199404761905,0.525,12.0
12,0.50375,0.5065228611306491,0.513681846315434,0.50375,13.0
13,0.53375,0.5363717510125438,0.5440060947022972,0.53375,14.0
14,0.575,0.4198412698412698,0.330625,0.575,15.0
15,0.53875,0.5180157961861738,0.5185112361710142,0.53875,16.0
16,0.52125,0.5227087531101192,0.5247457664588584,0.52125,17.0
17,0.5425,0.533611815014254,0.5315563115388869,0.5425,18.0
18,0.575,0.4198412698412698,0.330625,0.575,19.0
19,0.575,0.4198412698412698,0.330625,0.575,20.0
20,0.575,0.4198412698412698,0.330625,0.575,21.0
21,0.53125,0.5335040892158383,0.547238212590377,0.53125,22.0
mean,0.5544318181818181,0.4879496178033271,0.4682572082202652,0.5544318181818181,11.5
std,0.026070074037688844,0.058156769692696,0.09770652721075389,0.026070074037688844,6.34428877022476
