,accuracy,f1_score,precision,recall,fold
0,0.5823529411764706,0.5497927897049202,0.5456790596163419,0.5823529411764706,1.0
1,0.6235294117647059,0.5446676929959605,0.517444847586006,0.6235294117647059,2.0
2,0.25,0.1396969696969697,0.7252829064919595,0.25,3.0
3,0.45,0.2793103448275862,0.2025,0.45,4.0
4,0.6176470588235294,0.4849211694684608,0.49184671830411747,0.6176470588235294,5.0
5,0.5235294117647059,0.5186017358602258,0.5316247433497047,0.5235294117647059,6.0
6,0.6352941176470588,0.5795965653536868,0.6083420344012749,0.6352941176470588,7.0
7,0.40147058823529413,0.43024398835191907,0.6428116837550193,0.40147058823529413,8.0
8,0.7058823529411765,0.6097088675213674,0.5760531830334561,0.7058823529411765,9.0
9,0.5779411764705882,0.4290404662365536,0.6504807692307693,0.5779411764705882,10.0
10,0.45,0.2793103448275862,0.2025,0.45,11.0
11,0.5720588235294117,0.6440137057084531,0.7728537830082451,0.5720588235294117,12.0
12,0.875,0.8166666666666668,0.765625,0.875,13.0
13,0.675,0.5467142705017927,0.6184734513274337,0.675,14.0
14,0.5455882352941176,0.3882968601332065,0.3014032496307238,0.5455882352941176,15.0
15,0.49264705882352944,0.34948799214727194,0.43857937712262446,0.49264705882352944,16.0
16,0.5308823529411765,0.5354278824780805,0.5410953830960414,0.5308823529411765,17.0
17,0.3235294117647059,0.15888888888888889,0.1053019145802651,0.3235294117647059,18.0
18,0.5514705882352942,0.5568825600979942,0.5630255811443318,0.5514705882352942,19.0
19,0.85,0.7838559529642333,0.7983775811209438,0.85,20.0
20,0.8,0.7111111111111111,0.64,0.8,21.0
21,0.675,0.6424127805623882,0.627673229899415,0.675,22.0
mean,0.5776737967914438,0.49902952755024194,0.5394079316681215,0.5776737967914438,11.5
std,0.15137622077523102,0.17647155133993236,0.18417514561327333,0.15137622077523102,6.34428877022476
