,accuracy,f1_score,precision,recall,fold
0,0.38382352941176473,0.2550766637892054,0.507546439628483,0.38382352941176473,1.0
1,0.675,0.5440298507462686,0.45562500000000006,0.675,2.0
2,0.23676470588235293,0.11632268709806123,0.6317394578313252,0.23676470588235293,3.0
3,0.55,0.3903225806451613,0.30250000000000005,0.55,4.0
4,0.6073529411764705,0.5290945541288129,0.5475898692810457,0.6073529411764705,5.0
5,0.525,0.3614754098360656,0.275625,0.525,6.0
6,0.625,0.48076923076923084,0.390625,0.625,7.0
7,0.7764705882352941,0.6829286992077689,0.7521418020679469,0.7764705882352941,8.0
8,0.725,0.6094202898550725,0.525625,0.725,9.0
9,0.575,0.41984126984126985,0.330625,0.575,10.0
10,0.5323529411764706,0.41186595861563813,0.4529349073618626,0.5323529411764706,11.0
11,0.3058823529411765,0.3479269707516639,0.820691503618333,0.3058823529411765,12.0
12,0.875,0.8166666666666668,0.765625,0.875,13.0
13,0.6705882352941176,0.549672951135052,0.564033780427223,0.6705882352941176,14.0
14,0.5191176470588236,0.5133311070295541,0.5124574693458304,0.5191176470588236,15.0
15,0.5191176470588236,0.444653957677217,0.5412321125394131,0.5191176470588236,16.0
16,0.4176470588235294,0.3384807270793019,0.6509323806204252,0.4176470588235294,17.0
17,0.675,0.5544571600662551,0.61953125,0.675,18.0
18,0.33088235294117646,0.21386373133191278,0.6645356189405649,0.33088235294117646,19.0
19,0.85,0.7810810810810812,0.7225,0.85,20.0
20,0.8,0.7111111111111111,0.64,0.8,21.0
21,0.6823529411764706,0.6390127838044924,0.623496346261945,0.6823529411764706,22.0
mean,0.5844251336898396,0.4868820655575847,0.5589824062692909,0.5844251336898396,11.5
std,0.1706289476882065,0.17585520629295526,0.1460714975279663,0.1706289476882065,6.34428877022476
