,accuracy,f1_score,precision,recall,fold
0,0.38088235294117645,0.22683779140252536,0.5575723552894212,0.38088235294117645,1.0
1,0.325,0.15943396226415094,0.10562500000000001,0.325,2.0
2,0.2823529411764706,0.21274704341614414,0.6954556619995087,0.2823529411764706,3.0
3,0.4514705882352941,0.29009809677773934,0.5168860114625344,0.4514705882352941,4.0
4,0.425,0.3984925720783911,0.5115764054202526,0.425,5.0
5,0.538235294117647,0.3951148623511905,0.6813458655287741,0.538235294117647,6.0
6,0.41911764705882354,0.3233962756761715,0.608733949264015,0.41911764705882354,7.0
7,0.4470588235294118,0.4839195979899497,0.6564784413751934,0.4470588235294118,8.0
8,0.5529411764705883,0.5697287422058065,0.5943532832024153,0.5529411764705883,9.0
9,0.5617647058823529,0.5445765892563922,0.5463044900757175,0.5617647058823529,10.0
10,0.45,0.2793103448275862,0.2025,0.45,11.0
11,0.12794117647058822,0.036359877061857365,0.6717825443786982,0.12794117647058822,12.0
12,0.6867647058823529,0.7269230769230769,0.7806372549019608,0.6867647058823529,13.0
13,0.675,0.5440298507462686,0.45562500000000006,0.675,14.0
14,0.5514705882352942,0.45537963791560543,0.5343691148775894,0.5514705882352942,15.0
15,0.586764705882353,0.5552545276383196,0.6210782360965246,0.586764705882353,16.0
16,0.425,0.41658227875526205,0.5224590863377321,0.425,17.0
17,0.4338235294117647,0.43172340927131114,0.5595167662749188,0.4338235294117647,18.0
18,0.5808823529411765,0.5710424180807371,0.5629476661951909,0.5808823529411765,19.0
19,0.3397058823529412,0.38974672097060586,0.7338210259210485,0.3397058823529412,20.0
20,0.34705882352941175,0.37508361204013374,0.6452185792349726,0.34705882352941175,21.0
21,0.5941176470588235,0.5824116462186414,0.5724604498788226,0.5941176470588235,22.0
mean,0.46283422459893053,0.40764513335763036,0.5607612358052406,0.46283422459893053,11.5
std,0.1311316062416272,0.15989933382603333,0.15076935785151493,0.1311316062416272,6.34428877022476
