,accuracy,f1_score,precision,recall,fold
0,0.48676470588235293,0.3717022442609454,0.45051586403182503,0.48676470588235293,1.0
1,0.7,0.608792875666683,0.5738585446089275,0.7,2.0
2,0.7470588235294118,0.6589364547269697,0.6752635542168675,0.7470588235294118,3.0
3,0.425,0.2535087719298245,0.180625,0.425,4.0
4,0.5808823529411765,0.5974805247057028,0.6372219450061717,0.5808823529411765,5.0
5,0.49411764705882355,0.5545890869034974,0.6915709642470207,0.49411764705882355,6.0
6,0.7161764705882353,0.6306135453993915,0.5755629289319949,0.7161764705882353,7.0
7,0.48970588235294116,0.48807572601767923,0.5911747124442002,0.48970588235294116,8.0
8,0.5397058823529411,0.5315242225922627,0.5293067226890756,0.5397058823529411,9.0
9,0.6397058823529411,0.6209889281611088,0.6277723881845247,0.6397058823529411,10.0
10,0.6764705882352942,0.5474358365395272,0.7812960235640648,0.6764705882352942,11.0
11,0.425,0.2535087719298245,0.180625,0.425,12.0
12,0.5,0.3333333333333333,0.25,0.5,13.0
13,0.5,0.3333333333333333,0.25,0.5,14.0
14,0.5455882352941176,0.5448983615607564,0.5443982910040353,0.5455882352941176,15.0
15,0.5941176470588235,0.5124378888938628,0.5951669060894549,0.5941176470588235,16.0
16,0.6191176470588236,0.5064612738194366,0.46463530907357387,0.6191176470588236,17.0
17,0.7441176470588236,0.6526175687666371,0.6534749034749034,0.7441176470588236,18.0
18,0.5823529411764706,0.5852946686148889,0.5888469927174597,0.5823529411764706,19.0
19,0.5647058823529412,0.5819320453031313,0.6629320246423723,0.5647058823529412,20.0
20,0.6205882352941177,0.5051587301587301,0.5571755725190839,0.6205882352941177,21.0
21,0.5235294117647059,0.4186804548323166,0.44971382783882785,0.5235294117647059,22.0
mean,0.5779411764705883,0.5041502112477201,0.5232335216038356,0.5779411764705883,11.5
std,0.09420742709861601,0.12134627254667613,0.16482523389537107,0.09420742709861601,6.34428877022476
