,accuracy,f1_score,precision,recall,fold
0,0.5,0.3333333333333333,0.25,0.5,1.0
1,0.275,0.11862745098039217,0.07562500000000001,0.275,2.0
2,0.75,0.6428571428571428,0.5625,0.75,3.0
3,0.425,0.2535087719298245,0.180625,0.425,4.0
4,0.7,0.5764705882352941,0.49,0.7,5.0
5,0.825,0.7458904109589041,0.680625,0.825,6.0
6,0.75,0.6428571428571428,0.5625,0.75,7.0
7,0.65,0.5121212121212121,0.42250000000000004,0.65,8.0
8,0.575,0.41984126984126985,0.330625,0.575,9.0
9,0.6294117647058823,0.6229794110272199,0.6213913043478262,0.6294117647058823,10.0
10,0.675,0.5440298507462686,0.45562500000000006,0.675,11.0
11,0.575,0.41984126984126985,0.330625,0.575,12.0
12,0.49264705882352944,0.3562567399590046,0.4517894617435199,0.49264705882352944,13.0
13,0.5,0.3333333333333333,0.25,0.5,14.0
14,0.55,0.3903225806451613,0.30250000000000005,0.55,15.0
15,0.575,0.41984126984126985,0.330625,0.575,16.0
16,0.65,0.5121212121212121,0.42250000000000004,0.65,17.0
17,0.75,0.6428571428571428,0.5625,0.75,18.0
18,0.35441176470588237,0.19084054767606068,0.773042836041359,0.35441176470588237,19.0
19,0.4455882352941177,0.4334919392774072,0.6516492606762486,0.4455882352941177,20.0
20,0.625,0.48076923076923084,0.390625,0.625,21.0
21,0.5485294117647059,0.4833877758326866,0.5295943843088972,0.5485294117647059,22.0
mean,0.5827540106951872,0.45798089213826293,0.43761214759626593,0.5827540106951872,11.5
std,0.13359575566438986,0.1538036134672984,0.16954612876252986,0.13359575566438986,6.34428877022476
