,accuracy,f1_score,precision,recall,fold
0,0.5,0.33849111884270283,0.5,0.5,1.0
1,0.6161764705882353,0.6079756550024141,0.6009418131972017,0.6161764705882353,2.0
2,0.5852941176470589,0.6054172015404364,0.6359848484848485,0.5852941176470589,3.0
3,0.4676470588235294,0.359703557312253,0.645569067563634,0.4676470588235294,4.0
4,0.6941176470588235,0.6292273251852779,0.6404590309346935,0.6941176470588235,5.0
5,0.36911764705882355,0.41195729842512935,0.7070946499528901,0.36911764705882355,6.0
6,0.6573529411764706,0.6452184542999579,0.6353508690275136,0.6573529411764706,7.0
7,0.5647058823529412,0.5651230087571989,0.5655492424242424,0.5647058823529412,8.0
8,0.5588235294117647,0.43128910228430084,0.45349101015257215,0.5588235294117647,9.0
9,0.6397058823529411,0.6395946180496855,0.6394861014624815,0.6397058823529411,10.0
10,0.6058823529411764,0.5641136532738096,0.5476798768757215,0.6058823529411764,11.0
11,0.4602941176470588,0.4348447508169451,0.426844790547798,0.4602941176470588,12.0
12,0.5,0.3333333333333333,0.25,0.5,13.0
13,0.5117647058823529,0.4722816990958476,0.5167892943558343,0.5117647058823529,14.0
14,0.5411764705882353,0.5324655711768725,0.5333484282425752,0.5411764705882353,15.0
15,0.5308823529411765,0.514500466853408,0.5880777310924369,0.5308823529411765,16.0
16,0.5279411764705882,0.5318164301979331,0.5364493933456597,0.5279411764705882,17.0
17,0.6397058823529411,0.6340022296544036,0.6288018433179724,0.6397058823529411,18.0
18,0.5911764705882353,0.5806660628440048,0.5744096812278631,0.5911764705882353,19.0
19,0.4411764705882353,0.4055776472756959,0.7280980081085845,0.4411764705882353,20.0
20,0.6205882352941177,0.500701909193005,0.5524062432256666,0.6205882352941177,21.0
21,0.5073529411764706,0.46200362312640114,0.47434269640973553,0.5073529411764706,22.0
mean,0.551403743315508,0.5091047598427734,0.5627806645431784,0.551403743315508,11.5
std,0.07765495482347679,0.09878956111458789,0.10184185631266321,0.07765495482347679,6.34428877022476
