,accuracy,f1_score,precision,recall,fold
0,0.538235294117647,0.5392942770770355,0.5416883116883118,0.538235294117647,1.0
1,0.5014705882352941,0.4861432541437558,0.5283181216470425,0.5014705882352941,2.0
2,0.5102941176470588,0.510221042865577,0.5207672131147542,0.5102941176470588,3.0
3,0.5455882352941176,0.4689864046305021,0.5221008403361345,0.5455882352941176,4.0
4,0.5823529411764706,0.5832243705661428,0.5850993033170427,0.5823529411764706,5.0
5,0.55,0.3903225806451613,0.30250000000000005,0.55,6.0
6,0.55,0.3903225806451613,0.30250000000000005,0.55,7.0
7,0.5147058823529411,0.4745446799446161,0.4873903508771929,0.5147058823529411,8.0
8,0.55,0.3903225806451613,0.30250000000000005,0.55,9.0
9,0.5485294117647059,0.43120278874297296,0.5225736623092766,0.5485294117647059,10.0
10,0.4838235294117647,0.4817351756324695,0.49656007106373534,0.4838235294117647,11.0
11,0.5926470588235294,0.5749811823287592,0.5882463251809985,0.5926470588235294,12.0
12,0.5514705882352942,0.43490830803454966,0.5355911899457778,0.5514705882352942,13.0
13,0.5235294117647059,0.5223459771010203,0.5366508967659935,0.5235294117647059,14.0
14,0.55,0.3903225806451613,0.30250000000000005,0.55,15.0
15,0.55,0.3903225806451613,0.30250000000000005,0.55,16.0
16,0.5676470588235294,0.5686385906390076,0.5710389610389611,0.5676470588235294,17.0
17,0.5617647058823529,0.528898426323319,0.5514423076923077,0.5617647058823529,18.0
18,0.5264705882352941,0.5093519232888791,0.5132826747720365,0.5264705882352941,19.0
19,0.4823529411764706,0.4087463109884635,0.546699586086704,0.4823529411764706,20.0
20,0.5235294117647059,0.5018694452957402,0.5077458256029684,0.5235294117647059,21.0
21,0.5397058823529411,0.4300381747034216,0.49299015159154314,0.5397058823529411,22.0
mean,0.5383689839572194,0.47303378343327457,0.4800311724104901,0.5383689839572194,11.5
std,0.027547569208629667,0.06353551364253271,0.09958943228853624,0.027547569208629667,6.34428877022476
