,accuracy,f1_score,precision,recall,fold
0,0.55,0.3903225806451613,0.30250000000000005,0.55,1.0
1,0.5264705882352941,0.48030803729493693,0.5002968073158993,0.5264705882352941,2.0
2,0.5264705882352941,0.46016431322207957,0.4902110042735043,0.5264705882352941,3.0
3,0.5191176470588236,0.5173699681859855,0.516424626078322,0.5191176470588236,4.0
4,0.5485294117647059,0.3922561037569397,0.4522156573116692,0.5485294117647059,5.0
5,0.55,0.3903225806451613,0.30250000000000005,0.55,6.0
6,0.55,0.3903225806451613,0.30250000000000005,0.55,7.0
7,0.5485294117647059,0.3948249596154966,0.4822962962962962,0.5485294117647059,8.0
8,0.45441176470588235,0.2889160826895418,0.753397341211226,0.45441176470588235,9.0
9,0.55,0.3903225806451613,0.30250000000000005,0.55,10.0
10,0.5426470588235294,0.5301077467236409,0.5330769230769231,0.5426470588235294,11.0
11,0.55,0.3903225806451613,0.30250000000000005,0.55,12.0
12,0.5529411764705883,0.39947158218125967,0.6409763313609468,0.5529411764705883,13.0
13,0.5661764705882353,0.5130111946229479,0.5597417680010931,0.5661764705882353,14.0
14,0.5970588235294118,0.5568795039383275,0.6034926470588236,0.5970588235294118,15.0
15,0.5602941176470588,0.41788186830635965,0.6740114145943743,0.5602941176470588,16.0
16,0.55,0.3903225806451613,0.30250000000000005,0.55,17.0
17,0.45441176470588235,0.30351372316457476,0.5330075187969925,0.45441176470588235,18.0
18,0.5191176470588236,0.5110435139186728,0.5107203298706885,0.5191176470588236,19.0
19,0.5485294117647059,0.38964862298195635,0.3021354933726068,0.5485294117647059,20.0
20,0.55,0.3903225806451613,0.30250000000000005,0.55,21.0
21,0.5441176470588235,0.4383253502842563,0.509936507936508,0.5441176470588235,22.0
mean,0.5390374331550803,0.4239082107001412,0.46270184847981244,0.5390374331550803,11.5
std,0.03113825498304759,0.06815708925158097,0.13744300779572313,0.03113825498304759,6.34428877022476
