,accuracy,f1_score,precision,recall,fold
0,0.45294117647058824,0.28826172695826463,0.6155325443786982,0.45294117647058824,1.0
1,0.4985294117647059,0.49010959708338653,0.48907583846808356,0.4985294117647059,2.0
2,0.5455882352941176,0.4102498290362976,0.49498157381313673,0.5455882352941176,3.0
3,0.4264705882352941,0.42215833701901817,0.4375,0.4264705882352941,4.0
4,0.5632352941176471,0.47297137653515786,0.5664621440148183,0.5632352941176471,5.0
5,0.5426470588235294,0.4237917501598195,0.4965386070362743,0.5426470588235294,6.0
6,0.5352941176470588,0.41556491485075997,0.46563371044433516,0.5352941176470588,7.0
7,0.5588235294117647,0.5086271567891973,0.547487816198654,0.5588235294117647,8.0
8,0.47941176470588237,0.4516858155266831,0.5085330332318284,0.4794117647058824,9.0
9,0.5220588235294118,0.5138593657001955,0.5451724137931034,0.5220588235294118,10.0
10,0.5411764705882353,0.48072033898305083,0.5176395534290271,0.5411764705882353,11.0
11,0.55,0.392941089328922,0.5275811209439528,0.55,12.0
12,0.5485294117647059,0.38964862298195635,0.3021354933726068,0.5485294117647059,13.0
13,0.4485294117647059,0.37787174851125244,0.47038095238095234,0.4485294117647059,14.0
14,0.5294117647058824,0.527835247881301,0.5435267857142857,0.5294117647058824,15.0
15,0.5455882352941176,0.4955350269438029,0.5270087283393373,0.5455882352941176,16.0
16,0.47205882352941175,0.39487355078993214,0.5250834903636262,0.47205882352941175,17.0
17,0.4852941176470588,0.453125,0.5194117647058822,0.4852941176470588,18.0
18,0.5279411764705882,0.46510231401797675,0.4945620912932406,0.5279411764705882,19.0
19,0.5544117647058824,0.43861382732612636,0.548608717582279,0.5544117647058824,20.0
20,0.5441176470588235,0.4789915966386555,0.5216262975778546,0.5441176470588235,21.0
21,0.5411764705882353,0.45056241932509683,0.5080065359477124,0.5411764705882353,22.0
mean,0.5187834224598931,0.44286821147212974,0.5078404187740768,0.5187834224598931,11.5
std,0.039252541272376436,0.05408154068468993,0.05787078015748795,0.03925254127237643,6.34428877022476
