,accuracy,f1_score,precision,recall,fold
0,0.4279411764705882,0.2598855093400275,0.7561578171091445,0.4279411764705882,1.0
1,0.48970588235294116,0.4720703129553684,0.46754603976531944,0.48970588235294116,2.0
2,0.47794117647058826,0.4315435851760059,0.5503216911764706,0.47794117647058826,3.0
3,0.47941176470588237,0.48128538698548967,0.4839718594893536,0.47941176470588237,4.0
4,0.5279411764705882,0.4723573692857088,0.4792708333333333,0.5279411764705882,5.0
5,0.4985294117647059,0.49994536701465897,0.5178978863381858,0.4985294117647059,6.0
6,0.5941176470588235,0.5933244503664225,0.5926943693753958,0.5941176470588235,7.0
7,0.5441176470588235,0.5215740142210731,0.5233726719527937,0.5441176470588235,8.0
8,0.5161764705882353,0.493362188062057,0.491640708915145,0.5161764705882353,9.0
9,0.47794117647058826,0.48073919521149316,0.4866442627494457,0.47794117647058826,10.0
10,0.5735294117647058,0.41915887850467287,0.33026509572901325,0.5735294117647058,11.0
11,0.4088235294117647,0.2808249521072797,0.3852876063971907,0.4088235294117647,12.0
12,0.5588235294117647,0.49908839431661006,0.523813018871002,0.5588235294117647,13.0
13,0.5264705882352941,0.4700980392156863,0.4764323911382735,0.5264705882352941,14.0
14,0.4235294117647059,0.35547906976744187,0.45903051141567186,0.4235294117647059,15.0
15,0.46176470588235297,0.4578852301374847,0.4880902882256932,0.46176470588235297,16.0
16,0.43823529411764706,0.32620244679068205,0.5193163751987282,0.43823529411764706,17.0
17,0.47058823529411764,0.4310396160196321,0.5305023848570963,0.47058823529411764,18.0
18,0.4426470588235294,0.3974211271594449,0.48827736318407955,0.4426470588235294,19.0
19,0.513235294117647,0.5090819761970538,0.5067445054945054,0.513235294117647,20.0
20,0.48970588235294116,0.4412598171207383,0.5748986013986014,0.48970588235294116,21.0
21,0.5705882352941176,0.41779026217228465,0.3295420974889217,0.5705882352941176,22.0
mean,0.49598930481283426,0.441428054005787,0.49825992634560756,0.49598930481283426,11.5
std,0.0507283801732902,0.07753403371960764,0.08543825218243267,0.0507283801732902,6.34428877022476
