,accuracy,f1_score,precision,recall,fold
0,0.5674157303370787,0.41081712375659457,0.32196061103396034,0.5674157303370787,1.0
1,0.9531835205992509,0.9321641332801879,0.9120517739317411,0.9531835205992509,2.0
2,0.5430711610486891,0.38357696083778775,0.2964985138183275,0.5430711610486891,3.0
3,0.550561797752809,0.39097866796938613,0.303118293144805,0.550561797752809,4.0
4,0.6142322097378277,0.473940719355978,0.40334954652619953,0.6142322097378277,5.0
5,0.15730337078651685,0.04276208137885895,0.024744350460800403,0.15730337078651685,6.0
6,0.5449438202247191,0.5289504552617996,0.515950044523199,0.5449438202247191,7.0
7,0.5,0.3446223901428109,0.27637447465477316,0.5,8.0
8,0.6404494382022472,0.5000769585962752,0.41017548289357403,0.6404494382022472,9.0
9,0.5280898876404494,0.36500330469266357,0.27887892942810244,0.5280898876404494,10.0
10,0.42134831460674155,0.24981125371941199,0.17753440222194167,0.42134831460674155,11.0
11,0.4438202247191011,0.27285445722030344,0.1969763918697134,0.4438202247191011,12.0
mean,0.5387016229712859,0.4079632088510048,0.3431344012089282,0.5387016229712859,6.5
std,0.17289815945988926,0.20117357724289803,0.2090893986288805,0.17289815945988926,3.452052529534663
