,accuracy,f1_score,precision,recall,fold
0,0.5674157303370787,0.41081712375659457,0.32196061103396034,0.5674157303370787,1.0
1,0.9550561797752809,0.9331008652976882,0.9121323065269537,0.9550561797752809,2.0
2,0.5205992509363296,0.404815649164657,0.36577549270724624,0.5205992509363296,3.0
3,0.550561797752809,0.39097866796938613,0.303118293144805,0.550561797752809,4.0
4,0.6179775280898876,0.47206616729088635,0.38189622522408784,0.6179775280898876,5.0
5,0.15730337078651685,0.04276208137885895,0.024744350460800403,0.15730337078651685,6.0
6,0.6273408239700374,0.4884768439495278,0.5100086755961827,0.6273408239700374,7.0
7,0.2565543071161049,0.22711164399183434,0.3079198205008199,0.2565543071161049,8.0
8,0.6404494382022472,0.5000769585962752,0.41017548289357403,0.6404494382022472,9.0
9,0.5280898876404494,0.36500330469266357,0.27887892942810244,0.5280898876404494,10.0
10,0.42134831460674155,0.24981125371941199,0.17753440222194167,0.42134831460674155,11.0
11,0.4438202247191011,0.27285445722030344,0.1969763918697134,0.4438202247191011,12.0
mean,0.523876404494382,0.3964895847523406,0.34926008180068235,0.523876404494382,6.5
std,0.19245331654003353,0.20509429840992105,0.20721187933123278,0.19245331654003353,3.452052529534663
