,accuracy,f1_score,precision,recall,fold
0,0.5149812734082397,0.42511216587465417,0.4565604880703496,0.5149812734082397,1.0
1,0.9550561797752809,0.9331008652976882,0.9121323065269537,0.9550561797752809,2.0
2,0.5430711610486891,0.38357696083778775,0.2964985138183275,0.5430711610486891,3.0
3,0.42696629213483145,0.42535847490517054,0.4253698001328943,0.42696629213483145,4.0
4,0.6179775280898876,0.47206616729088635,0.38189622522408784,0.6179775280898876,5.0
5,0.15730337078651685,0.04283138783166098,0.02479077513333474,0.15730337078651685,6.0
6,0.6292134831460674,0.4860131731886866,0.39590960737280645,0.6292134831460674,7.0
7,0.46441947565543074,0.40334546173799674,0.4215423051896484,0.46441947565543074,8.0
8,0.6367041198501873,0.49829018075232046,0.40930979133226325,0.6367041198501873,9.0
9,0.5280898876404494,0.36500330469266357,0.27887892942810244,0.5280898876404494,10.0
10,0.42134831460674155,0.2530622124524727,0.3459491425192194,0.42134831460674155,11.0
11,0.4438202247191011,0.27285445722030344,0.1969763918697134,0.4438202247191011,12.0
mean,0.5282459425717853,0.4133845676735242,0.3788178563848084,0.5282459425717853,6.5
std,0.17866558639147986,0.19841139939835467,0.19831333625037392,0.17866558639147986,3.452052529534663
