,accuracy,f1_score,precision,recall,fold
0,0.5674157303370787,0.41081712375659457,0.32196061103396034,0.5674157303370787,1.0
1,0.9382022471910112,0.9246051131737503,0.9113964686998396,0.9382022471910112,2.0
2,0.5449438202247191,0.3877202541338956,0.3981794373574385,0.5449438202247191,3.0
3,0.5411985018726592,0.3866643002443786,0.3007795076570166,0.5411985018726592,4.0
4,0.6179775280898876,0.47206616729088635,0.38189622522408784,0.6179775280898876,5.0
5,0.15543071161048688,0.04294795978710822,0.02491637361694828,0.15543071161048688,6.0
6,0.599250936329588,0.4901790283221388,0.62612734082397,0.599250936329588,7.0
7,0.5112359550561798,0.3458919844618019,0.26136220174220426,0.5112359550561798,8.0
8,0.6404494382022472,0.5000769585962752,0.41017548289357403,0.6404494382022472,9.0
9,0.5280898876404494,0.36500330469266357,0.27887892942810244,0.5280898876404494,10.0
10,0.42134831460674155,0.24981125371941199,0.17753440222194167,0.42134831460674155,11.0
11,0.44569288389513106,0.2769381944854094,0.6355482007715496,0.44569288389513106,12.0
mean,0.5426029962546816,0.4043934702220262,0.3940629317892195,0.5426029962546816,6.5
std,0.17097204786946607,0.19750637061598153,0.22512196096717121,0.17097204786946607,3.452052529534663
