,accuracy,f1_score,precision,recall,fold
0,0.5599250936329588,0.5752724678567375,0.6022002763840796,0.5599250936329588,1.0
1,0.24906367041198502,0.37450461966578685,0.9549337970111217,0.24906367041198502,2.0
2,0.6385767790262172,0.66433689650151,0.6985960908239701,0.6385767790262172,3.0
3,0.38764044943820225,0.21657644543510896,0.15026511804065143,0.38764044943820225,4.0
4,0.17415730337078653,0.06001252446697246,0.8600266615882689,0.17415730337078653,5.0
5,0.9588014981273408,0.9679678604421337,0.9773111795583705,0.9588014981273408,6.0
6,0.5,0.357733413994757,0.5491329479768786,0.5,7.0
7,0.31647940074906367,0.21969473479712887,0.701119735458075,0.31647940074906367,8.0
8,0.601123595505618,0.5913108742984318,0.5838296762839055,0.601123595505618,9.0
9,0.28277153558052437,0.3115055370906501,0.6610364690166259,0.28277153558052437,10.0
10,0.550561797752809,0.39097866796938613,0.303118293144805,0.550561797752809,11.0
11,0.8539325842696629,0.8406700213689944,0.8290916474888317,0.8539325842696629,12.0
mean,0.5060861423220974,0.46421367199063307,0.655888491064632,0.5060861423220974,6.5
std,0.2297706831464642,0.25764735254871673,0.23591702690820554,0.2297706831464642,3.452052529534663
