,accuracy,f1_score,precision,recall,fold
0,0.3089887640449438,0.20733684086795418,0.48938099895373693,0.3089887640449438,1.0
1,0.46629213483146065,0.6170929776053721,0.9544462889998789,0.46629213483146065,2.0
2,0.795880149812734,0.7281932773765453,0.6891360044449932,0.795880149812734,3.0
3,0.40262172284644193,0.2570549403652321,0.6332139770342018,0.40262172284644193,4.0
4,0.2546816479400749,0.23919451335181674,0.7020029311187104,0.2546816479400749,5.0
5,0.22284644194756553,0.3527950279864173,0.971969874402984,0.22284644194756553,6.0
6,0.5131086142322098,0.40741627389107754,0.528680395150661,0.5131086142322098,7.0
7,0.4550561797752809,0.48336600048039413,0.5840750795425298,0.4550561797752809,8.0
8,0.5805243445692884,0.5818931894041878,0.5833197479401053,0.5805243445692884,9.0
9,0.602996254681648,0.6448981071948572,0.7026426688333562,0.602996254681648,10.0
10,0.548689138576779,0.4388079041974787,0.5228177060380794,0.548689138576779,11.0
11,0.7134831460674157,0.7594712542786484,0.821682226088136,0.7134831460674157,12.0
mean,0.4887640449438202,0.4764600255833318,0.6819473248789477,0.4887640449438202,6.5
std,0.16767011259130202,0.18282879091940327,0.15447569948203546,0.16767011259130202,3.452052529534663
