,accuracy,f1_score,precision,recall,fold
0,0.4250936329588015,0.4272208173660686,0.5860372704850644,0.4250936329588015,1.0
1,0.7696629213483146,0.8503839765510504,0.9521858423612488,0.7696629213483146,2.0
2,0.4868913857677903,0.5411235818475808,0.7089669068004878,0.4868913857677903,3.0
3,0.3895131086142322,0.2206030160058661,0.762906591900837,0.3895131086142322,4.0
4,0.8314606741573034,0.7549458881919073,0.6913268526701174,0.8314606741573034,5.0
5,0.5861423220973783,0.7307748431343937,0.9701666020922124,0.5861423220973783,6.0
6,0.5187265917602997,0.4642477551268197,0.5253591601170645,0.5187265917602997,7.0
7,0.651685393258427,0.615132404737815,0.5932980250457852,0.651685393258427,8.0
8,0.31086142322097376,0.14981870895717841,0.7866644180702826,0.31086142322097376,9.0
9,0.32209737827715357,0.3755285575692922,0.6549019933508834,0.32209737827715357,10.0
10,0.550561797752809,0.39430663344723,0.5279420461265524,0.550561797752809,11.0
11,0.897003745318352,0.8500726510420711,0.8078082509433565,0.897003745318352,12.0
mean,0.561641697877653,0.5311799028314395,0.7139636633303242,0.561641697877653,6.5
std,0.18559563843394306,0.22375274320340294,0.14259619607345617,0.18559563843394306,3.452052529534663
