,accuracy,f1_score,precision,recall,fold
0,0.5617977528089888,0.5789798150541912,0.6150576534378959,0.5617977528089888,1.0
1,0.47191011235955055,0.6222916655556918,0.9547317373040538,0.47191011235955055,2.0
2,0.5093632958801498,0.5632597756377458,0.7073180995665531,0.50936329588015,3.0
3,0.3951310861423221,0.2895709783951614,0.4805523076553453,0.3951310861423221,4.0
4,0.8314606741573034,0.7549458881919073,0.6913268526701174,0.8314606741573034,5.0
5,0.6310861423220974,0.7647267771084122,0.974324255803428,0.6310861423220974,6.0
6,0.5112359550561798,0.3613537194202871,0.5867308721241306,0.5112359550561798,7.0
7,0.3464419475655431,0.27192403402591797,0.7363402615565033,0.3464419475655431,8.0
8,0.4606741573033708,0.47845353859769163,0.5569791393142756,0.4606741573033708,9.0
9,0.28277153558052437,0.30851095080110963,0.6690419773522992,0.28277153558052437,10.0
10,0.5561797752808989,0.41888274735026376,0.5819753582051669,0.5561797752808989,11.0
11,0.6966292134831461,0.7507507893275769,0.8333661133917291,0.6966292134831461,12.0
mean,0.521223470661673,0.513637556622163,0.6989787190317914,0.521223470661673,6.5
std,0.14479812261065605,0.17798661522145454,0.14801774135901938,0.14479812261065605,3.452052529534663
