,accuracy,f1_score,precision,recall,fold
0,0.46441947565543074,0.4734442723653712,0.500059282654652,0.46441947565543074,1.0
1,0.0449438202247191,0.003866135073094116,0.0020199469763918696,0.0449438202247191,2.0
2,0.6760299625468165,0.5538879386985168,0.6517406172341283,0.6760299625468165,3.0
3,0.7528089887640449,0.6466436185537309,0.5667213735639439,0.7528089887640449,4.0
4,0.18164794007490637,0.10776891448926615,0.7557436638151175,0.18164794007490637,5.0
5,0.3352059925093633,0.2679087878047817,0.6567318505748277,0.3352059925093633,6.0
6,0.5262172284644194,0.55535195544116,0.6487206452336247,0.5262172284644194,7.0
7,0.6404494382022472,0.5366351880407869,0.4796918390322509,0.6404494382022472,8.0
8,0.5318352059925093,0.530077635158499,0.528442011588079,0.5318352059925093,9.0
9,0.49812734082397003,0.4446793203410991,0.4811020538052924,0.49812734082397003,10.0
10,0.38764044943820225,0.21657644543510896,0.15026511804065143,0.38764044943820225,11.0
11,0.797752808988764,0.708005617977528,0.6364095442494634,0.797752808988764,12.0
mean,0.4864232209737828,0.4204038191149119,0.5048039955640352,0.4864232209737828,6.5
std,0.2145238843759399,0.21113058292983458,0.21011350721176458,0.2145238843759399,3.452052529534663
