,accuracy,f1_score,precision,recall,fold
0,0.4400749063670412,0.3752079211375223,0.6102015408926628,0.4400749063670412,1.0
1,0.1441947565543071,0.18408708334461285,0.9572986988717326,0.1441947565543071,2.0
2,0.6779026217228464,0.5515683616026237,0.7820393680831291,0.6779026217228464,3.0
3,0.7528089887640449,0.6466436185537309,0.5667213735639439,0.7528089887640449,4.0
4,0.15168539325842698,0.03995615237051247,0.023008458527963644,0.15168539325842698,5.0
5,0.2696629213483146,0.1145470816346823,0.0727180911501073,0.2696629213483146,6.0
6,0.26217228464419473,0.1139094769504069,0.8086086001520656,0.26217228464419473,7.0
7,0.3258426966292135,0.1913261232825049,0.4949067880785196,0.3258426966292135,8.0
8,0.45318352059925093,0.4647166938836587,0.48787784503388754,0.45318352059925093,9.0
9,0.47752808988764045,0.3155442439705187,0.33535396444425564,0.47752808988764045,10.0
10,0.5543071161048689,0.5274000836070903,0.5217520113004427,0.5543071161048689,11.0
11,0.5205992509363296,0.5675567031893363,0.6899153991256017,0.5205992509363296,12.0
mean,0.41916354556803986,0.3410386286272667,0.5292001782686927,0.41916354556803986,6.5
std,0.18589358793204433,0.20030317190408242,0.2683568617780676,0.18589358793204433,3.452052529534663
