,accuracy,f1_score,precision,recall,fold
0,0.4288389513108614,0.39739954899100377,0.5295210571138155,0.4288389513108614,1.0
1,0.3857677902621723,0.5196198456529821,0.9053285665645217,0.3857677902621723,2.0
2,0.6441947565543071,0.5989008158343733,0.593634608721477,0.6441947565543071,3.0
3,0.5917602996254682,0.5927860082833383,0.5938235787355358,0.5917602996254682,4.0
4,0.2640449438202247,0.2650024557903557,0.7580074065630783,0.2640449438202247,5.0
5,0.31647940074906367,0.22698465128440587,0.6622220542236419,0.31647940074906367,6.0
6,0.6348314606741573,0.6326081943238052,0.630478378692114,0.6348314606741573,7.0
7,0.3595505617977528,0.2795613372885231,0.5633365073319367,0.3595505617977528,8.0
8,0.6086142322097379,0.5400181349334827,0.5359916083572407,0.6086142322097379,9.0
9,0.49250936329588013,0.46680195177307304,0.5005150343209313,0.49250936329588013,10.0
10,0.39325842696629215,0.2439360705388465,0.5271310242088133,0.39325842696629215,11.0
11,0.5393258426966292,0.5844666150071032,0.6860639761522587,0.5393258426966292,12.0
mean,0.4715980024968789,0.4456738024751077,0.6238378167487804,0.4715980024968789,6.5
std,0.1257306990524327,0.14866983748577905,0.11153283496055298,0.1257306990524327,3.452052529534663
