,accuracy,f1_score,precision,recall,fold
0,0.4850187265917603,0.4862197974918605,0.5514092643077286,0.4850187265917603,1.0
1,0.5168539325842697,0.6478160797377502,0.8995556817231337,0.5168539325842697,2.0
2,0.6123595505617978,0.5863026385724096,0.574922466879405,0.6123595505617978,3.0
3,0.6048689138576779,0.5977800733035292,0.5911859694466659,0.6048689138576779,4.0
4,0.15168539325842698,0.03995615237051247,0.023008458527963644,0.15168539325842698,5.0
5,0.5692883895131086,0.5904589601980575,0.6300497020234141,0.5692883895131086,6.0
6,0.4700374531835206,0.4960586671277922,0.6383408786929988,0.4700374531835206,7.0
7,0.4307116104868914,0.43365098623003145,0.5520442471538793,0.4307116104868914,8.0
8,0.6385767790262172,0.5163353559948014,0.5350746911188601,0.6385767790262172,9.0
9,0.5224719101123596,0.4775667074797767,0.5193587084574414,0.5224719101123596,10.0
10,0.43820224719101125,0.3768325275976661,0.5571117133322636,0.43820224719101125,11.0
11,0.41385767790262173,0.44734562864178956,0.7064766258358001,0.41385767790262173,12.0
mean,0.4878277153558052,0.4746936312288314,0.5648782006249629,0.4878277153558052,6.5
std,0.12420521687680482,0.1511945006909461,0.19137348686605146,0.12420521687680482,3.452052529534663
