,accuracy,f1_score,precision,recall,fold
0,0.5374531835205992,0.54429596374201,0.5578690749403656,0.5374531835205992,1.0
1,0.29775280898876405,0.41532334630870876,0.9121723009665095,0.29775280898876405,2.0
2,0.6198501872659176,0.5868913771805649,0.5754408069190032,0.6198501872659176,3.0
3,0.5692883895131086,0.5829163474465651,0.5992688351030746,0.5692883895131086,4.0
4,0.2958801498127341,0.31328804901527363,0.7716963278443734,0.2958801498127341,5.0
5,0.37265917602996257,0.3550623447999499,0.6131832718700048,0.37265917602996257,6.0
6,0.5842696629213483,0.6011472637372567,0.6253451043338684,0.5842696629213483,7.0
7,0.45692883895131087,0.472757626225597,0.5418584699816186,0.45692883895131087,8.0
8,0.46441947565543074,0.4632173590264747,0.5538360871415183,0.46441947565543074,9.0
9,0.49812734082397003,0.4982681896843136,0.49863254480322894,0.49812734082397003,10.0
10,0.45692883895131087,0.43609757078680417,0.5354969790372381,0.45692883895131087,11.0
11,0.4157303370786517,0.46896139458266933,0.621365157055838,0.4157303370786517,12.0
mean,0.4641073657927591,0.47818556937801565,0.6171804133330534,0.4641073657927591,6.5
std,0.10127327819384074,0.08712593248732624,0.11067522555819909,0.10127327819384074,3.452052529534663
