,accuracy,f1_score,precision,recall,fold
0,0.8632958801498127,0.8354322522861705,0.813603246297242,0.8632958801498127,1.0
1,0.7921348314606742,0.8125902662860053,0.8385069089076388,0.7921348314606742,2.0
2,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,3.0
3,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,4.0
4,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,5.0
5,0.8689138576779026,0.8361227186990757,0.8107887668574482,0.8689138576779026,6.0
6,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,7.0
7,0.848314606741573,0.8477228488713807,0.8471376186222691,0.848314606741573,8.0
8,0.8913857677902621,0.8419623984870397,0.7977317283976643,0.8913857677902621,9.0
9,0.8764044943820225,0.840284742840416,0.8153822928780335,0.8764044943820225,10.0
10,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,11.0
11,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,12.0
mean,0.8750000000000001,0.8392912735680279,0.8092178555031722,0.8750000000000001,6.5
std,0.02890135643080644,0.008636562212357281,0.016468428663375823,0.02890135643080644,3.452052529534663
