,accuracy,f1_score,precision,recall,fold
0,0.7509363295880149,0.7782846698666556,0.8109967623787996,0.7509363295880149,1.0
1,0.8146067415730337,0.8239046425640584,0.8342909431392578,0.8146067415730337,2.0
2,0.8033707865168539,0.8083316900764181,0.8134741812096582,0.8033707865168539,3.0
3,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,4.0
4,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,5.0
5,0.7584269662921348,0.7821994986567089,0.8098762784960666,0.7584269662921348,6.0
6,0.5936329588014981,0.6701242345222692,0.7926247713613797,0.5936329588014981,7.0
7,0.897003745318352,0.8549698984983181,0.8823033707865169,0.897003745318352,8.0
8,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,9.0
9,0.8764044943820225,0.840284742840416,0.8153822928780335,0.8764044943820225,10.0
10,0.8857677902621723,0.8391484328799527,0.797191011235955,0.8857677902621723,11.0
11,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,12.0
mean,0.8294319600499377,0.8140695427890802,0.8123151734059039,0.8294319600499377,6.5
std,0.0884801184949057,0.049547285249390075,0.02388537962862037,0.0884801184949057,3.452052529534663
