,accuracy,f1_score,precision,recall,fold
0,0.32209737827715357,0.39973025748356883,0.7884199563720938,0.32209737827715357,1.0
1,0.6329588014981273,0.7022820252190873,0.8296054005245027,0.6329588014981273,2.0
2,0.5037453183520599,0.5943730653486123,0.8145380220633758,0.5037453183520599,3.0
3,0.6048689138576779,0.6802928175584931,0.8249126085019963,0.6048689138576779,4.0
4,0.26591760299625467,0.32223385899961066,0.7815984032134707,0.26591760299625467,5.0
5,0.5711610486891385,0.653143710324222,0.8032414942770135,0.5711610486891385,6.0
6,0.5655430711610487,0.648609039912052,0.7995810988251271,0.5655430711610487,7.0
7,0.3801498127340824,0.45909345852643646,0.8434009645344742,0.3801498127340824,8.0
8,0.10674157303370786,0.020589745052187303,0.01139376341371039,0.10674157303370786,9.0
9,0.7434456928838952,0.7750621437469508,0.8145190690265276,0.7434456928838952,10.0
10,0.7322097378277154,0.7634761144123741,0.8003116508775795,0.7322097378277154,11.0
11,0.7397003745318352,0.7740943756328179,0.8186516758841562,0.7397003745318352,12.0
mean,0.5140449438202247,0.566081717684701,0.7441811756261689,0.5140449438202247,6.5
std,0.19616868368635879,0.21772207961828413,0.22157489376858458,0.19616868368635879,3.452052529534663
