,accuracy,f1_score,precision,recall,fold
0,0.8876404494382022,0.8434258530008784,0.8200463031796266,0.8876404494382022,1.0
1,0.6404494382022472,0.7062333492286866,0.810954287062073,0.6404494382022472,2.0
2,0.7172284644194756,0.7607065597279807,0.8218076366841524,0.7172284644194756,3.0
3,0.6685393258426966,0.7271449374133081,0.8182306375052575,0.6685393258426966,4.0
4,0.7715355805243446,0.7906061359053927,0.8123125930134822,0.7715355805243446,5.0
5,0.799625468164794,0.8060020792824302,0.8126718786831147,0.799625468164794,6.0
6,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,7.0
7,0.8239700374531835,0.8090971355250381,0.794939891569105,0.8239700374531835,8.0
8,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,9.0
9,0.5842696629213483,0.6635940572926989,0.8057469049209031,0.5842696629213483,10.0
10,0.8913857677902621,0.8454186730872124,0.834634672760744,0.8913857677902621,11.0
11,0.8932584269662921,0.8428966758910413,0.7979106173462946,0.8932584269662921,12.0
mean,0.7887016229712859,0.7900765673447291,0.8104230547847786,0.7887016229712859,6.5
std,0.10727911098905292,0.059683169669901975,0.011581465694836647,0.10727911098905292,3.452052529534663
