,accuracy,f1_score,precision,recall,fold
0,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,1.0
1,0.3258426966292135,0.16015996952961342,0.10617346294659766,0.3258426966292135,2.0
2,0.3258426966292135,0.16015996952961342,0.10617346294659766,0.3258426966292135,3.0
3,0.3258426966292135,0.16015996952961342,0.10617346294659766,0.3258426966292135,4.0
4,0.3258426966292135,0.16015996952961342,0.10617346294659766,0.3258426966292135,5.0
5,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,6.0
6,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,7.0
7,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,8.0
8,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,9.0
9,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,10.0
10,0.3258426966292135,0.16015996952961342,0.10617346294659766,0.3258426966292135,11.0
11,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,12.0
mean,0.3323970037453184,0.1658741005448075,0.11051845305727391,0.3323970037453184,6.5
std,0.005539400545973409,0.004829322139567463,0.003672186878791367,0.005539400545973409,3.452052529534663
