,accuracy,f1_score,precision,recall,fold
0,0.3258426966292135,0.16015996952961342,0.10617346294659766,0.3258426966292135,1.0
1,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,2.0
2,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,3.0
3,0.32771535580524347,0.3198606072065383,0.34101549199863807,0.32771535580524347,4.0
4,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,5.0
5,0.3258426966292135,0.16015996952961342,0.10617346294659766,0.3258426966292135,6.0
6,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,7.0
7,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,8.0
8,0.3258426966292135,0.16015996952961342,0.10617346294659766,0.3258426966292135,9.0
9,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,10.0
10,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,11.0
11,0.33707865168539325,0.16995562269851758,0.11362201742204267,0.33707865168539325,12.0
mean,0.3334893882646692,0.1799987914486266,0.13070933501789767,0.3334893882646692,6.5
std,0.005097529017185091,0.04237627675642777,0.06348918418378989,0.005097529017185091,3.452052529534663
