,accuracy,f1_score,precision,recall,fold
0,0.33707865168539325,0.3349529561438145,0.3348256345554839,0.33707865168539325,1.0
1,0.3445692883895131,0.3361675972391966,0.3499577534069671,0.3445692883895131,2.0
2,0.3202247191011236,0.31633853334279466,0.3198919765895755,0.3202247191011236,3.0
3,0.3464419475655431,0.31667906699117687,0.36454849498327757,0.3464419475655431,4.0
4,0.35767790262172283,0.3221750390724,0.3608647450110865,0.35767790262172283,5.0
5,0.350187265917603,0.3036105704135425,0.3607402941405206,0.350187265917603,6.0
6,0.36142322097378277,0.34499702763766854,0.36099611450260144,0.36142322097378277,7.0
7,0.3389513108614232,0.29648872027623363,0.315519366846937,0.3389513108614232,8.0
8,0.30337078651685395,0.25663701349863727,0.31534863717004463,0.30337078651685395,9.0
9,0.36704119850187267,0.29080097467194244,0.31391962465189893,0.36704119850187267,10.0
10,0.2846441947565543,0.27146330235739474,0.28698495270047353,0.2846441947565543,11.0
11,0.3595505617977528,0.3463039939483939,0.36147288202285244,0.3595505617977528,12.0
mean,0.3392634207240948,0.31138456629943306,0.3370892063818099,0.3392634207240948,6.5
std,0.02389424724771936,0.027363063263797414,0.02499401706348555,0.02389424724771936,3.452052529534663
