,accuracy,f1_score,precision,recall,fold
0,0.34831460674157305,0.3090579007623023,0.35530114685517233,0.34831460674157305,1.0
1,0.3089887640449438,0.27312471249863146,0.30311989056176025,0.3089887640449438,2.0
2,0.31273408239700373,0.2559295717175502,0.31180539275057384,0.31273408239700373,3.0
3,0.350187265917603,0.33618855317982316,0.35178136867516746,0.350187265917603,4.0
4,0.350187265917603,0.3287082326256237,0.3641751111756599,0.350187265917603,5.0
5,0.3258426966292135,0.3207073724651261,0.3278592044655237,0.3258426966292135,6.0
6,0.3146067415730337,0.24785567201446695,0.29775827457060494,0.3146067415730337,7.0
7,0.3333333333333333,0.3147363095710149,0.3209130878891504,0.3333333333333333,8.0
8,0.3333333333333333,0.18512953373482866,0.32908634516332336,0.3333333333333333,9.0
9,0.3445692883895131,0.27519812983230213,0.2291509798442764,0.3445692883895131,10.0
10,0.3052434456928839,0.27402202879623255,0.32856202550546204,0.3052434456928839,11.0
11,0.31086142322097376,0.2701203161337168,0.3035981998221459,0.31086142322097376,12.0
mean,0.32818352059925093,0.28256486111096824,0.3185925856065684,0.32818352059925093,6.5
std,0.016629188879872935,0.040799802688583825,0.0338768792181997,0.016629188879872935,3.452052529534663
