,accuracy,f1_score,precision,recall,fold
0,0.5280898876404494,0.5402567954945572,0.566849804053582,0.5280898876404494,1.0
1,0.6348314606741573,0.6088648135113505,0.6028110081325045,0.6348314606741573,2.0
2,0.5243445692883895,0.536123037222978,0.5595769738201993,0.5243445692883895,3.0
3,0.6104868913857678,0.582198921310232,0.5725411363757388,0.6104868913857678,4.0
4,0.653558052434457,0.5929510923890607,0.6046141678255177,0.653558052434457,5.0
5,0.6104868913857678,0.5899197332653313,0.581157743996475,0.6104868913857678,6.0
6,0.6629213483146067,0.5285453993319161,0.43946471405125614,0.6629213483146067,7.0
7,0.6629213483146067,0.5285453993319161,0.43946471405125614,0.6629213483146067,8.0
8,0.5861423220973783,0.5864228464081962,0.5867072002577343,0.5861423220973783,9.0
9,0.5861423220973783,0.5807384983107097,0.5764321973386952,0.5861423220973783,10.0
10,0.6629213483146067,0.5285453993319161,0.43946471405125614,0.6629213483146067,11.0
11,0.6629213483146067,0.5285453993319161,0.43946471405125614,0.6629213483146067,12.0
mean,0.6154806491885143,0.56097144460334,0.5340457573337893,0.6154806491885143,6.5
std,0.048769101085205026,0.03013293573563869,0.06800127151315447,0.048769101085205026,3.452052529534663
