,accuracy,f1_score,precision,recall,fold
0,0.6460674157303371,0.5703686653004703,0.5800283831937327,0.6460674157303371,1.0
1,0.6573033707865169,0.5937377893773166,0.609955033864075,0.6573033707865169,2.0
2,0.651685393258427,0.5263898246147828,0.4794612722689794,0.651685393258427,3.0
3,0.6123595505617978,0.5718031809191444,0.5615561193669204,0.6123595505617978,4.0
4,0.6329588014981273,0.5638843516985775,0.5614082217909024,0.6329588014981273,5.0
5,0.552434456928839,0.5282113169723202,0.5136474272684816,0.552434456928839,6.0
6,0.5655430711610487,0.5683019550892446,0.5714263611733802,0.5655430711610487,7.0
7,0.6685393258426966,0.5508338857267032,0.6679293739967898,0.6685393258426966,8.0
8,0.6123595505617978,0.5913796762061517,0.5827268481635121,0.6123595505617978,9.0
9,0.5561797752808989,0.5570694448011727,0.5579910357954196,0.5561797752808989,10.0
10,0.6591760299625468,0.5267456311664596,0.4386246515164315,0.6591760299625468,11.0
11,0.6666666666666666,0.5404288805823334,0.6943396226415094,0.6666666666666666,12.0
mean,0.6234394506866417,0.5574295502045564,0.5682578625866778,0.6234394506866417,6.5
std,0.041723322262020204,0.022539082234878226,0.06818892429845552,0.041723322262020204,3.452052529534663
