,accuracy,f1_score,precision,recall,fold
0,0.49063670411985016,0.5033952524831756,0.5579248734446555,0.49063670411985016,1.0
1,0.6254681647940075,0.5896691834414703,0.5826797784364751,0.6254681647940075,2.0
2,0.5561797752808989,0.5581964577263607,0.5603875659055456,0.5561797752808989,3.0
3,0.5374531835205992,0.5244132907260419,0.5148269219716456,0.5374531835205992,4.0
4,0.6329588014981273,0.5555489848216046,0.5515790447126276,0.6329588014981273,5.0
5,0.6161048689138576,0.573032296385268,0.5636409544249463,0.6161048689138576,6.0
6,0.5955056179775281,0.5791782289375016,0.5703152245032168,0.5955056179775281,7.0
7,0.6292134831460674,0.5999783923941228,0.5932900775439152,0.6292134831460674,8.0
8,0.6273408239700374,0.5677427741057577,0.5622189799265349,0.6273408239700374,9.0
9,0.6067415730337079,0.5805280159358287,0.5705996525956151,0.6067415730337079,10.0
10,0.5617977528089888,0.5430670480261194,0.5315193694449103,0.5617977528089888,11.0
11,0.6086142322097379,0.5884591894608917,0.5796025972970147,0.6086142322097379,12.0
mean,0.5906679151061174,0.5636007595370119,0.561548753350592,0.5906679151061174,6.5
std,0.04276104454196158,0.02728272931042799,0.020700521015822766,0.04276104454196158,3.452052529534663
