,accuracy,f1_score,precision,recall,fold
0,0.49812734082397003,0.511445241818362,0.5410460515904416,0.49812734082397003,1.0
1,0.5674157303370787,0.5753323796568075,0.5878254900627696,0.5674157303370787,2.0
2,0.6235955056179775,0.55377757193902,0.544224138892918,0.6235955056179775,3.0
3,0.5749063670411985,0.5670877240257108,0.5612047182316939,0.5749063670411985,4.0
4,0.6179775280898876,0.5327854822636227,0.5095370119447166,0.6179775280898876,5.0
5,0.6423220973782772,0.5591886932991301,0.5643725781105385,0.6423220973782772,6.0
6,0.47191011235955055,0.4861124745415103,0.5175515981850584,0.47191011235955055,7.0
7,0.5617977528089888,0.5635169153312458,0.5653660121733262,0.5617977528089888,8.0
8,0.5168539325842697,0.530002667482092,0.5655704092512097,0.5168539325842697,9.0
9,0.649812734082397,0.546175491291087,0.5570301438695547,0.649812734082397,10.0
10,0.601123595505618,0.5864076502929082,0.5783059400865028,0.601123595505618,11.0
11,0.599250936329588,0.584007349303936,0.5756588848919089,0.599250936329588,12.0
mean,0.5770911360799001,0.5496533034371194,0.5556410814408866,0.5770911360799001,6.5
std,0.05454783992041394,0.02883089837530171,0.02267944788134377,0.05454783992041394,3.452052529534663
